epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.4785141944885254,,
,,,0,,,,,,0.7513851523399353
,,,1,,,,,,0.671533465385437
,,,2,,,,,,0.6819378733634949
,,,3,,,,,,0.6671228408813477
,,,4,,,,,,0.47470903396606445
,,,5,,,,,,0.3144492208957672
,,,6,,,,,,0.3170040547847748
,,,7,,,,,,0.31561803817749023
,,,8,,,,,,0.35394442081451416
0,0.906282901763916,0.9166666865348816,16,,,,,0.5172048807144165,
0,,,16,,,0.5589084029197693,,,
1,,,19,,,,0.517196774482727,,
1,,,29,,,,0.4691811800003052,,
,,,9,,,,,,0.6118327379226685
,,,10,,,,,,0.5382906198501587
,,,11,,,,,,0.5488388538360596
,,,12,,,,,,0.5375591516494751
,,,13,,,,,,0.42115628719329834
,,,14,,,,,,0.3145931661128998
,,,15,,,,,,0.31782266497612
,,,16,,,,,,0.3163594603538513
,,,17,,,,,,0.36737850308418274
1,0.9625210762023926,0.9629629850387573,33,,,,,0.4473694860935211,
1,,,33,,,0.4768824279308319,,,
2,,,39,,,,0.39926543831825256,,
2,,,49,,,,0.3752729892730713,,
,,,18,,,,,,0.4167802929878235
,,,19,,,,,,0.37915027141571045
,,,20,,,,,,0.38563138246536255
,,,21,,,,,,0.37954986095428467
,,,22,,,,,,0.36125168204307556
,,,23,,,,,,0.3148380517959595
,,,24,,,,,,0.325203001499176
,,,25,,,,,,0.32132524251937866
,,,26,,,,,,0.4076218903064728
2,0.9924712181091309,0.9930555820465088,50,,,,,0.36240899562835693,
2,,,50,,,0.3969886898994446,,,
3,,,59,,,,0.3452945649623871,,
,,,27,,,,,,0.3524077236652374
,,,28,,,,,,0.3269488215446472
,,,29,,,,,,0.3297460079193115
,,,30,,,,,,0.3270385265350342
,,,31,,,,,,0.34069061279296875
,,,32,,,,,,0.3136049509048462
,,,33,,,,,,0.3177873492240906
,,,34,,,,,,0.3257155418395996
,,,35,,,,,,0.4175717532634735
3,0.9887006282806396,0.9896551966667175,67,,,,,0.33288148045539856,
3,,,67,,,0.33512625098228455,,,
4,,,69,,,,0.3273014724254608,,
4,,,79,,,,0.31999507546424866,,
,,,36,,,,,,0.3269883394241333
,,,37,,,,,,0.3168800175189972
,,,38,,,,,,0.3178246021270752
,,,39,,,,,,0.31687095761299133
,,,40,,,,,,0.34202706813812256
,,,41,,,,,,0.3134186267852783
,,,42,,,,,,0.32006967067718506
,,,43,,,,,,0.3220096826553345
,,,44,,,,,,0.4304652512073517
4,0.9887006282806396,0.9896551966667175,84,,,,,0.3264792561531067,
4,,,84,,,0.32237473130226135,,,
5,,,89,,,,0.32644084095954895,,
5,,,99,,,,0.3145581781864166,,
,,,45,,,,,,0.3271595239639282
,,,46,,,,,,0.31568676233291626
,,,47,,,,,,0.31634578108787537
,,,48,,,,,,0.31566476821899414
,,,49,,,,,,0.3416343927383423
,,,50,,,,,,0.31334197521209717
,,,51,,,,,,0.3150142431259155
,,,52,,,,,,0.3153764605522156
,,,53,,,,,,0.4264058768749237
5,0.9887006282806396,0.9896551966667175,101,,,,,0.3244105875492096,
5,,,101,,,0.31911781430244446,,,
6,,,109,,,,0.32252657413482666,,
,,,54,,,,,,0.3233252763748169
,,,55,,,,,,0.31481504440307617
,,,56,,,,,,0.31517863273620605
,,,57,,,,,,0.3147949278354645
,,,58,,,,,,0.3422451317310333
,,,59,,,,,,0.31335151195526123
,,,60,,,,,,0.3152316212654114
